reperto	prova
consistenza	proprietà
lancia	arma
muscolatura	sistema
monorotaia	ferrovia
espansività	comunicativa
impatto	influenza
cavalleria	principio
nappa	addobbo
intagliatore	falegname
sublimato	gas
assillo	mosca
uranio	metallo
velista	marinaio
specchietto	specchio
flagello	processo
zenzero	aroma
terra	elemento
egiziano	africano
armeno	indoeuropeo
egoista	antipatico
dolce	dolciumi
plasma	stato
laguna	lago
israeliano	asiatico
bagno	abluzione
ritrattistica	figurazione
inibizione	controllo
cupezza	valore
geroglifico	scrittura
rossetta	pipistrello
malinconia	depressione
acero	legno
dato	informazione
nucleo	centro
muscovite	mica
terza	ingranaggio
gelosia	invidia
museo	deposito
shopping	acquisto
cantico	inno
corrosivo	composto
sottosistema	sistema
antenna	sensibilità
capannone	dependance
depositario	confidente
embriologia	biologia
esteriorizzazione	oggettivazione
musicista	artista
isomero	composto
scoppio	suono
minatore	manovale
sloveno	europeo
metacarpo	ossatura
bunker	fortificazione
equitazione	sport
cereale	erba
pedone	scacco
chimico	scienziato
dannazione	stato
libero	cittadino
binario	artefatto
stilizzazione	unificazione
campanaro	segnalatore
frenatore	ferroviere
atomistica	fisica
moralità	qualità
compensato	laminato
rullio	suono
nebulosità	atmosfera
cronometro	orologio
pipa	cannello
stracotto	stufato
calce	ossido
idealizzazione	apprezzamento
oggettività	intuito
colorito	interesse
macchinista	artigiano
humour	qualità
astrattismo	rappresentazione
spazio	attributo
tensore	muscolo
macedonia	insalata
alizarina	pigmento
arsenale	armamento
monitoraggio	osservazione
liberalismo	ideologia
coscienza	moralità
sirenide	salamandra
motivo	disegno
mascherina	protezione
dravida	indiano
elemento	ambiente
autodifesa	protezione
destra	fazione
prescienza	capacità
ibisco	malva
esemplificazione	dimostrazione
spiedino	piatto
maschile	genere
accesso	diritto
neurobiologia	biologia
modello	rappresentazione
galantina	piatto
torretta	torre
porridge	piatto
timpano	membrana
creazione	artefatto
liquidazione	fine
campana	protezione
nitrato	composto
cronometro	contaminuti
riso	cereale
coda	processo
apparizione	arrivo
gambale	copertura
addendo	numero
greco	indoeuropeo
giudice	autorità
sloop	veliero
uniformità	metodicità
ciuffo	cresta
gelata	gelo
potassio	metallo
oasi	rifugio
classificazione	ordinamento
banderese	cavaliere
nausea	sintomo
tatuaggio	disegno
brocco	centro
scopritore	osservatore
coppella	vaso
confidente	amico
ebanite	caucciù
dissenteria	morbo
risotto	piatto
metile	alchile
ferro	metallo
smegma	sebo
madrepora	corallo
scetticismo	miscredenza
avvento	stagione
